package_name,latest_version
mypy-boto3-drs,1.42.3
types-braintree,4.42.0.20260204
rusket,0.1.90
vespacli,8.660.21
types-aiobotocore-migrationhub-config,3.3.0
apache-airflow-providers-edge3,3.2.0
python-libmaas,0.6.8
logfire,4.30.0
python-keycloak,7.1.1
razorpay,2.0.1
mypy-boto3-groundstation,1.42.35
pyats-tcl,26.2
help-tokens,3.2.0
pyxero,0.9.5
tfp-nightly,0.26.0.dev20260323
iterable-io,1.0.1
dict2css,0.3.0.post1
sphinx-rtd-dark-mode,1.3.0
types-aiobotocore-kendra,3.3.0
mypy-boto3-verifiedpermissions,1.42.73
mypy-boto3-amp,1.42.3
copier-template-extensions,0.3.3
behavex-images,3.3.1
open-metric-learning,4.0.0
types-aiobotocore-machinelearning,3.3.0
openmed,0.6.3
eth-rlp,2.2.0
gin-config,0.5.0
pytest-icdiff,0.9
types-aiobotocore-compute-optimizer,3.3.0
arthur-client,1.4.1926
nostril-detector,1.2.2
streamlit-aggrid,1.2.1.post2
types-aiobotocore-mediapackage,3.3.0
scout-apm,3.5.3
pyats-connections,26.2
mypy-boto3-sso-oidc,1.42.67
googlesearch-python,1.3.0
types-aiobotocore,3.3.0
neo4j-driver,5.28.3
mypy-boto3-auditmanager,1.42.3
sphinx-autodoc-typehints,3.9.9
types-aiobotocore-chime,3.3.0
pyats-results,26.2
casbin-sqlalchemy-adapter,1.4.0
mypy-boto3-redshift-serverless,1.42.28
types-aiobotocore-cloud9,3.3.0
taktile-auth,1.1.92
paragraphs,1.0.1
tensorflow-decision-forests,1.12.0
polyfactory,3.3.0
asyncpg-trek,0.4.0
application-properties,0.9.2
agent-lifecycle-toolkit,0.10.1
types-aiobotocore-amp,3.3.0
rapidocr,3.7.0
pyld,2.0.4
mypy-boto3-resource-explorer-2,1.42.30
w3lib,2.4.1
ocsf-lib,0.10.4
google-cloud-iam,2.21.0
jsonrpcclient,4.0.3
ctypesgen,1.1.1
azure-mgmt-devspaces,0.2.0
apache-airflow-providers-apache-iceberg,2.0.0
crowdsourcehinter-xblock,1.0.0
cuda-core,0.6.0
circuitbreaker,2.1.3
first,2.0.2
mabwiser,2.7.4
mypy-boto3-internetmonitor,1.42.3
starkbank-ecdsa,2.2.0
dagster-polars,0.27.9
dawg-python,0.7.2
mypy-boto3-route53-recovery-control-config,1.42.3
weblate-fonts,2026.1
apache-airflow-providers-elasticsearch,6.5.0
currency-symbols,2.0.4
fft-conv-pytorch,1.2.0
enmerkar-underscore,2.4.0
nbmake,1.5.5
launchdarkly-eventsource,1.5.1
pympler,1.1
pyprind,2.11.3
pyudev,0.24.4
types-boto3-sts,1.42.3
test-results-parser,0.6.1
dash-daq,0.6.0
apache-airflow-providers-openfaas,3.9.2
mypy-boto3-rbin,1.42.3
types-aiobotocore-globalaccelerator,3.3.0
types-aiobotocore-chime-sdk-meetings,3.3.0
python-binance,1.0.35
django-ninja-extra,0.31.3
mypy-boto3-detective,1.42.3
awsiot,0.1.3
pipx-in-pipx,1.0.1
pylerc,4.1
g4f,7.3.4
pytrends,4.9.2
wagtail-factories,4.4.0
rangehttpserver,1.4.0
bcpandas,2.7.2
ib-async,2.1.0
logbook,1.9.2
types-aiobotocore-chime-sdk-messaging,3.3.0
pytest-instafail,0.5.0
mypy-boto3-apprunner,1.42.3
langchain-neo4j,0.8.0
csv-diff,1.2
apache-airflow-providers-git,0.2.4
brave-search,0.2.0
eventlet,0.40.4
types-aiobotocore-kinesis-video-media,3.3.0
types-aiobotocore-connect-contact-lens,3.3.0
types-aiobotocore-network-firewall,3.3.0
pyats-reporter,26.2
types-aiobotocore-cloudsearch,3.3.0
griffelib,2.0.1
mypy-boto3-pipes,1.42.3
ansible-dev-tools,26.3.1
numpyro,0.20.0
dagster-mysql,0.28.20
azure-mgmt-databricks,2.0.0
pymysqllock,0.2.0
mypy-boto3-opensearchserverless,1.42.29
sqlalchemy-exasol,6.1.1
large-image-source-gdal,1.34.0
ldfparser,0.26.0
airflow-dbt,0.4.0
esphome,2026.3.1
pytest-ruff,0.5
types-aiobotocore-appintegrations,3.3.0
awslabs-s3-tables-mcp-server,0.0.22
dragonmapper,0.3.0
azure-servicemanagement-legacy,0.20.8
uptime,3.0.1
aws-cdk-aws-stepfunctions,1.204.0
